mode	flight_number	callsign	aircraft_model_code	aircraft_model_description	aircraft_registration	airline_name	airline_iata	airline_icao	flight_origin_code_iata	flight_origin_code_icao	flight_origin_name	flight_origin_time_offset	flight_destination_code_iata	flight_destination_code_icao	flight_destination_name	flight_destination_time_offset	flight_departure_scheduled	flight_departure_real	flight_arrival_scheduled	flight_arrival_real	flight_duaration
arrivals	BA1425	SHT88G	A320	Airbus A320-232	G-EUYD	British Airways	BA	BAW	BHD	EGAC	Belfast City George Best  Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558284300	1558284104.0	1558289400	1558287461.0	3360.0
arrivals	BA637	BAW637	A20N	Airbus A320-251N	G-TTNG	British Airways	BA	BAW	ATH	LGAV	Athens Eleftherios Venizelos	10800	LHR	EGLL	London Heathrow Airport	3600	1558274400	1558276093.0	1558288500	1558287851.0	11760.0
arrivals	BA40	BAW40	B788	Boeing 787-8 Dreamliner	G-ZBJE	British Airways	BA	BAW	DUR	FALE	Durban King Shaka International Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558244100	1558245287.0	1558287900	1558286252.0	40980.0
arrivals	LH918		A20N	Airbus A320-271N	D-AINR	Lufthansa	LH	DLH	FRA	EDDF	Frankfurt Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558281600		1558287600		
arrivals	AF1080	AFR14GZ	E190	Embraer ERJ-190STD	F-HBLJ	HOP!	A5	HOP	LBG	LFPB	Paris Le Bourget Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558282500	1558285880.0	1558287300	1558288974.0	3120.0
arrivals	LX356	SWR56M	BCS3	Airbus A220-300	HB-JCF	Swiss	LX	SWR	GVA	LSGG	Geneva International Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558281000	1558281826.0	1558287000	1558286280.0	4440.0
arrivals	JU386	ASL23H	A319	Airbus A319-132	YU-APD	AirSERBIA	JU	ASL	BEG	LYBE	Belgrade Nikola Tesla Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558274700	1558276147	1558285800	1558284616.0	8460.0
arrivals	A3606	AEE6LW	A320	Airbus A320-232	SX-DVS	Aegean Airlines	A3	AEE	ATH	LGAV	Athens Eleftherios Venizelos	10800	LHR	EGLL	London Heathrow Airport	3600	1558271400	1558272651	1558285500	1558284474.0	11820.0
arrivals	BA707	BAW707H	A319	Airbus A319-131	G-EUPP	British Airways	BA	BAW	ZRH	LSZH	Zurich Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558277700	1558278963	1558284300	1558283575.0	4620.0
arrivals	LH916	DLH6KJ	A20N	Airbus A320-271N	D-AIND	Lufthansa	LH	DLH	FRA	EDDF	Frankfurt Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558278000	1558289350	1558284000	1558293695.0	4320.0
arrivals	SV115	SVA115	B77W	Boeing 777-368(ER)	HZ-AK43	Saudia (Ad-Diriyah E-Prix Livery)	SV	SVA	JED	OEJN	Jeddah King Abdulaziz International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558261500	1558263217	1558284000	1558283876.0	20640.0
arrivals	BA645	BAW645	A320	Airbus A320-232	G-EUYO	British Airways	BA	BAW	KLX	LGKL	Kalamata International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558268400	1558270051	1558282200	1558282017.0	11940.0
arrivals	TU790	TAR790	A319	Airbus A319-114	TS-IMO	Tunisair	TU	TAR	TUN	DTTA	Tunis Carthage International Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558270200	1558272294	1558281300	1558281502.0	9180.0
arrivals	SU2572	AFL2572	B738	Boeing 737-8LJ	VP-BCD	Aeroflot	SU	AFL	SVO	UUEE	Moscow Sheremetyevo International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558266300	1558267435	1558281000	1558280255.0	12840.0
arrivals	BA661	BAW661	A320	Airbus A320-232	G-EUUM	British Airways	BA	BAW	CHQ	LGSA	Chania International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558265700	1558266901	1558281000	1558280109.0	13200.0
arrivals	BA62	BAW62	B789	Boeing 787-9 Dreamliner	G-ZBKD	British Airways	BA	BAW	SEZ	FSIA	Victoria Seychelles International Airport	14400	LHR	EGLL	London Heathrow Airport	3600	1558242900	1558243638	1558279800	1558279800.0	36180.0
arrivals	CX7	CPA007	B744	Boeing 747-467F(ER)	B-LID	Cathay Pacific Cargo	CX	CPA	DWC	OMDW	Dubai World Central International Airport	14400	LHR	EGLL	London Heathrow Airport	3600	1558252800	1558254133	1558279200	1558278746.0	24600.0
arrivals	BA413	BAW413	A320	Airbus A320-232	G-EUYV	British Airways	BA	BAW	AGP	LEMG	Malaga Costa Del Sol Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558267800	1558267999	1558278000	1558276673.0	8700.0
arrivals	BG1	BBC001	B77W	Boeing 777-3E9(ER)	S2-AFP	Biman Bangladesh Airlines	BG	BBC	DAC	VGHS	Dhaka Shahjalal International Airport	21600	LHR	EGLL	London Heathrow Airport	3600	1558236900	1558237081.0	1558277700	1558277122.0	40020.0
arrivals	LH910		A320	Airbus A320-214	D-AIWD	Lufthansa	LH	DLH	FRA	EDDF	Frankfurt Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558270800		1558276800		
arrivals	TP1368	TAP1368	A20N	Airbus A320-251N	CS-TVB	TAP Air Portugal	TP	TAP	LIS	LPPT	Lisbon Humberto Delgado Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558266600	1558267716.0	1558276500	1558276241.0	8520.0
arrivals	PK787	PIA787	B772	Boeing 777-240(ER)	AP-BGJ	Pakistan International Airlines	PK	PIA	KHI	OPKC	Karachi Jinnah International Airport	18000	LHR	EGLL	London Heathrow Airport	3600	1558246500	1558247666.0	1558276500	1558276283.0	28620.0
arrivals	BA895	BAW895	A319	Airbus A319-131	G-EUOH	British Airways	BA	BAW	KRK	EPKK	Krakow John Paul II International Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558266300	1558270270.0	1558275300	1558277825.0	7560.0
arrivals	CX257	CPA257	B77W	Boeing 777-367(ER)	B-KPZ	Cathay Pacific	CX	CPA	HKG	VHHH	Hong Kong International Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558228200	1558229061.0	1558275000	1558272777.0	43740.0
arrivals	IR711		330			Iran Air	IR	IRA	IKA	OIIE	Tehran Imam Khomeini International Airport	16200	LHR	EGLL	London Heathrow Airport	3600	1558251600		1558274400		
arrivals	BA801	BAW80KA	A320	Airbus A320-232	G-EUYI	British Airways	BA	BAW	KEF	BIKF	Keflavik International Airport	0	LHR	EGLL	London Heathrow Airport	3600	1558263000	1558263703.0	1558273500	1558273167.0	9480.0
arrivals	BA335	BAW335	A320	Airbus A320-232	G-EUYT	British Airways	BA	BAW	NCE	LFMN	Nice Cote d'Azur Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558265100	1558265964.0	1558273200	1558271530.0	5580.0
arrivals	BE2123	BEE8WC	DH8D	Bombardier Dash 8 Q400	G-JECZ	Flybe	BE	BEE	ABZ	EGPD	Aberdeen International Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558263900	1558264413.0	1558271100	1558269900.0	5460.0
arrivals	AF1780	AFR76WX	A320	Airbus A320-214	F-GKXS	Air France	AF	AFR	CDG	LFPG	Paris Charles de Gaulle Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558264800	1558266627.0	1558269900	1558269233.0	2580.0
arrivals	JL41	JAL41	B788	Boeing 787-8 Dreamliner	JA840J	Japan Airlines	JL	JAL	HND	RJTT	Tokyo Haneda International Airport	32400	LHR	EGLL	London Heathrow Airport	3600	1558371300	1558374603.0	1558416300	1558415368.0	40740.0
arrivals	SA234	SAA234	A333	Airbus A330-343	ZS-SXI	South African Airways	SA	SAA	JNB	FAOR	Johannesburg OR Tambo International Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558375200	1558376264.0	1558416300	1558415872.0	39600.0
arrivals	QF1	QFA1	A388	Airbus A380-842	VH-OQL	Qantas	QF	QFA	SIN	WSSS	Singapore Changi Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558367700	1558368381.0	1558416300	1558415761.0	47400.0
arrivals	BI3	RBA003	B788	Boeing 787-8 Dreamliner	V8-DLA	Royal Brunei Airlines	BI	RBA	BWN	WBSB	Brunei International Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558364100	1558365575.0	1558416300	1558416966.0	51420.0
arrivals	VS4	VIR4C	A333	Airbus A330-343	G-VWAG	Virgin Atlantic	VS	VIR	JFK	KJFK	New York John F. Kennedy International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558389600	1558391751.0	1558416300	1558415652.0	23880.0
arrivals	SV113	SVA113	B77W	Boeing 777-3FGER	HZ-AK40	Saudia	SV	SVA	JED	OEJN	Jeddah King Abdulaziz International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558393500	1558396012.0	1558416000	1558417060.0	21060.0
arrivals	CX255	CPA255	B77W	Boeing 777-367(ER)	B-KPK	Cathay Pacific	CX	CPA	HKG	VHHH	Hong Kong International Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558369500	1558372629.0	1558416000	1558416266.0	43620.0
arrivals	BA64	BAW64M	B744	Boeing 747-436	G-CIVP	British Airways (Oneworld livery)	BA	BAW	NBO	HKJK	Nairobi Jomo Kenyatta International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558384500	1558385001.0	1558416000	1558415535.0	30540.0
arrivals	UA110	UAL110	B763	Boeing 767-322(ER)	N666UA	United Airlines	UA	UAL	EWR	KEWR	New York Newark Liberty International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558389600	1558393252.0	1558416000	1558416924.0	23700.0
arrivals	AA100	AAL100	B77W	Boeing 777-323(ER)	N727AN	American Airlines	AA	AAL	JFK	KJFK	New York John F. Kennedy International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558390200	1558391465.0	1558416000	1558415066.0	23580.0
arrivals	BA184	BAW9E	A343	Airbus A340-313	OO-ABB	Air Belgium	BA	ABB	EWR	KEWR	New York Newark Liberty International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558389900	1558392971.0	1558415700	1558416550.0	23580.0
arrivals	BA124	BAW124	B772	Boeing 777-236(ER)	G-VIIG	British Airways	BA	BAW	BAH	OBBI	Bahrain International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558389600	1558390662.0	1558415700	1558415249.0	24600.0
arrivals	BA106	BAW106	B772	Boeing 777-236	G-ZZZB	British Airways	BA	BAW	DXB	OMDB	Dubai International Airport	14400	LHR	EGLL	London Heathrow Airport	3600	1558387800	1558388894.0	1558415700	1558415007.0	26100.0
arrivals	UA958	UAL958	B763	Boeing 767-322(ER)	N676UA	United Airlines	UA	UAL	ORD	KORD	Chicago O'Hare International Airport	-18000	LHR	EGLL	London Heathrow Airport	3600	1558385400	1558386006.0	1558414500	1558412847.0	26820.0
arrivals	SQ322	SIA322	A388	Airbus A380-841	9V-SKY	Singapore Airlines	SQ	SIA	SIN	WSSS	Singapore Changi Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558366200	1558368246.0	1558414500	1558414844.0	46620.0
arrivals	MH2	MAS2	A359	Airbus A350-941	9M-MAG	Malaysia Airlines (Malaysia Negaraku Livery)	MH	MAS	KUL	WMKK	Kuala Lumpur International Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558366200	1558367617.0	1558414500	1558414071.0	46440.0
arrivals	BA12	BAW12	A388	Airbus A380-841	G-XLEC	British Airways	BA	BAW	SIN	WSSS	Singapore Changi Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558365300	1558366110.0	1558414200	1558413353.0	47220.0
arrivals	CX251	CPA251	B77W	Boeing 777-367(ER)	B-KQV	Cathay Pacific	CX	CPA	HKG	VHHH	Hong Kong International Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558367700	1558372279.0	1558413600	1558416204.0	43920.0
arrivals	BA262	BAW262	B772	Boeing 777-236(ER)	G-VIIC	British Airways	BA	BAW	RUH	OERK	Riyadh King Khalid International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558388100	1558388870.0	1558413300	1558411427.0	22560.0
arrivals	VS207	VIR207	B789	Boeing 787-9 Dreamliner	G-VSPY	Virgin Atlantic	VS	VIR	HKG	VHHH	Hong Kong International Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558367700	1558370701.0	1558413000	1558413011.0	42300.0
arrivals	BA56	BAW56	A388	Airbus A380-841	G-XLEF	British Airways	BA	BAW	JNB	FAOR	Johannesburg OR Tambo International Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558372800	1558373429.0	1558413000	1558411911.0	38460.0
arrivals	BA28	BAW28	B77W	Boeing 777-336(ER)	G-STBF	British Airways	BA	BAW	HKG	VHHH	Hong Kong International Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558367100	1558369740.0	1558413000	1558413197.0	43440.0
arrivals	BA74	BAW74	B744	Boeing 747-436	G-CIVD	British Airways (Oneworld Livery)	BA	BAW	LOS	DNMM	Lagos Murtala Mohammed Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558389300	1558390464.0	1558412700	1558411568.0	21120.0
arrivals	BA34	BAW34	B789	Boeing 787-9 Dreamliner	G-ZBKE	British Airways	BA	BAW	KUL	WMKK	Kuala Lumpur International Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558365000	1558368127.0	1558412700	1558413793.0	45660.0
arrivals	QF9	QFA9	B789	Boeing 787-9 Dreamliner	VH-ZNA	Qantas	QF	QFA	PER	YPPH	Perth Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558349100	1558349990.0	1558411500	1558411714.0	61740.0
arrivals	BA16	BAW16	B77W	Boeing 777-336(ER)	G-STBA	British Airways	BA	BAW	SIN	WSSS	Singapore Changi Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558362900	1558363927.0	1558411500	1558410653.0	46740.0
arrivals	BA32	BAW32	A388	Airbus A380-841	G-XLEH	British Airways	BA	BAW	HKG	VHHH	Hong Kong International Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558365000	1558369122.0	1558410600	1558412421.0	43320.0
arrivals	AZ210	AZA78M	A320	Airbus A320-216	EI-DTN	Alitalia	AZ	AZA	FCO	LIRF	Rome Leonardo da Vinci Fiumicino Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558380000	1558380873.0	1558389900	1558388047.0	7200.0
arrivals	TP1366	TAP1366	A21N	Airbus A321-251N	CS-TJL	TAP Air Portugal	TP	TAP	LIS	LPPT	Lisbon Humberto Delgado Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558380000	1558381288.0	1558389300	1558389169.0	7860.0
arrivals	BA783	BAW783C	A20N	Airbus A320-251N	G-TTNA	British Airways	BA	BAW	ARN	ESSA	Stockholm Arlanda Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558380000	1558380048.0	1558389000	1558387540.0	7500.0
arrivals	AA90	AAL90	B788	Boeing 787-8 Dreamliner	N808AN	American Airlines	AA	AAL	ORD	KORD	Chicago O'Hare International Airport	-18000	LHR	EGLL	London Heathrow Airport	3600	1558360800	1558361945.0	1558388700	1558387834.0	25860.0
arrivals	LH2484	DLH2MP	A320	Airbus A320-214	D-AIUX	Lufthansa	LH	DLH	MUC	EDDM	Munich Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558381200	1558382004.0	1558388400	1558387113.0	5100.0
arrivals	BA807	BAW807K	A319	Airbus A319-131	G-EUPS	British Airways	BA	BAW	BLL	EKBI	Billund Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558381500	1558382306.0	1558388400	1558386860.0	4560.0
arrivals	BA581	BAW581	A20N	Airbus A320-251N	G-TTNF	British Airways	BA	BAW	MXP	LIMC	Milan Malpensa Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558381800	1558384771.0	1558388400	1558389544.0	4800.0
arrivals	BA357	BAW357	A321	Airbus A321-231	G-EUXI	British Airways	BA	BAW	NCE	LFMN	Nice Cote d'Azur Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558381500	1558382441.0	1558388400	1558388015.0	5580.0
arrivals	BA769	BAW769	A319	Airbus A319-131	G-EUPU	British Airways	BA	BAW	OSL	ENGM	Oslo Gardermoen Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558380300	1558380700.0	1558388100	1558387274.0	6600.0
arrivals	BA749	BAW76GF	A320	Airbus A320-232	G-EUUE	British Airways	BA	BAW	BSL	LFSB	Basel Mulhouse-Freiburg EuroAirport	7200	LHR	EGLL	London Heathrow Airport	3600	1558382700	1558383257.0	1558388100	1558387301.0	4020.0
arrivals	BA663	BAW663	A21N	Airbus A321-251NX	G-NEOP	British Airways	BA	BAW	LCA	LCLK	Larnaca International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558370100	1558370997.0	1558387800	1558386989.0	16020.0
arrivals	TK1987	THY2LE	A321	Airbus A321-231	TC-JTD	Turkish Airlines	TK	THY	IST	LTFM	Istanbul Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558372500	1558374337.0	1558387500	1558386136.0	11820.0
arrivals	EI186	EIN186	A320	Airbus A320-214	EI-EDS	Aer Lingus	EI	EIN	DUB	EIDW	Dublin Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558383000	1558384097.0	1558387500	1558387123.0	3000.0
arrivals	BA329	BAW2PG	A21N	Airbus A321-251NX	G-NEOS	British Airways	BA	BAW	CDG	LFPG	Paris Charles de Gaulle Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558382400	1558383080.0	1558387200	1558385378.0	2280.0
arrivals	BA455		321			British Airways	BA	BAW	AGP	LEMG	Malaga Costa Del Sol Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558377000	1558435680.0	1558386900		
arrivals	LH922	DLH8NL	A20N	Airbus A320-271N	D-AINJ	Lufthansa	LH	DLH	FRA	EDDF	Frankfurt Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558380600	1558381498.0	1558386600	1558385146.0	3660.0
arrivals	AA142	AAL142	B772	Boeing 777-223(ER)	N752AN	American Airlines	AA	AAL	JFK	KJFK	New York John F. Kennedy International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558361700	1558362476.0	1558386600	1558385736.0	23280.0
arrivals	BA839	BAW83D	A20N	Airbus A320-251N	G-TTNE	British Airways	BA	BAW	DUB	EIDW	Dublin Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558382100	1558383121.0	1558386600	1558386154.0	3060.0
arrivals	BA465	BAW465M	A320	Airbus A320-232	G-EUUU	British Airways	BA	BAW	MAD	LEMD	Madrid Barajas Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558378800	1558379120.0	1558386600	1558386014.0	6900.0
arrivals	BA957	BAW957L	A320	Airbus A320-232	G-EUYH	British Airways	BA	BAW	MUC	EDDM	Munich Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558379100	1558380768.0	1558386300	1558386113.0	5340.0
arrivals	BA857	BAW34V	A320	Airbus A320-232	G-EUYN	British Airways	BA	BAW	PRG	LKPR	Prague Vaclav Havel Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558379100	1558381111.0	1558386300	1558386637.0	5520.0
arrivals	QR5	QTR005	B77W	Boeing 777-3DZ(ER)	A7-BEX	Qatar Airways	QR	QTR	DOH	OTHH	Doha Hamad International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558360200	1558361170.0	1558386000	1558384680.0	23520.0
arrivals	BA737	BAW737	A319	Airbus A319-131	G-EUOB	British Airways	BA	BAW	GVA	LSGG	Geneva International Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558380300	1558380155.0	1558386000	1558384835.0	4680.0
arrivals	TP1358	TAP1358	A320	Airbus A320-214	CS-TNN	TAP Air Portugal	TP	TAP	LIS	LPPT	Lisbon Humberto Delgado Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558376100	1558380569.0	1558386000	1558388398.0	7800.0
arrivals	BA1317	SHT19XG	A321	Airbus A321-231	G-MEDN	British Airways	BA	BAW	ABZ	EGPD	Aberdeen International Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558380600	1558381754.0	1558386000	1558385972.0	4200.0
arrivals	BA689	BAW12HG	A320	Airbus A320-232	G-TTOE	British Airways	BA	BAW	BUD	LHBP	Budapest Ferenc Liszt International Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558376400	1558378019.0	1558386000	1558385602.0	7560.0
arrivals	BA979	BAW97DV	A320	Airbus A320-232	G-EUYJ	British Airways	BA	BAW	HAJ	EDDV	Hannover Langenhagen Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558380000	1558382484.0	1558385700	1558386502.0	4020.0
arrivals	BA873	BAW8TK	A20N	Airbus A320-251N	G-TTNI	British Airways	BA	BAW	KRK	EPKK	Krakow John Paul II International Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558376700	1558378621.0	1558385700	1558385257.0	6660.0
arrivals	BA719	BAW719	A321	Airbus A321-231	G-EUXD	British Airways	BA	BAW	ZRH	LSZH	Zurich Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558379400	1558380960.0	1558385700	1558385478.0	4500.0
arrivals	BA1407	SHT3Y	A320	Airbus A320-232	G-EUYB	British Airways	BA	BAW	MAN	EGCC	Manchester Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558381800	1558382359.0	1558385400	1558384302.0	1920.0
arrivals	BA995	BAW9GM	A320	Airbus A320-232	G-EUYI	British Airways	BA	BAW	TXL	EDDT	Berlin Tegel Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558378500	1558380840.0	1558385400	1558385829.0	4980.0
arrivals	BA555	BAW555	A20N	Airbus A320-251N	G-TTNB	British Airways	BA	BAW	FCO	LIRF	Rome Leonardo da Vinci Fiumicino Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558376100	1558377441.0	1558385400	1558384552.0	7140.0
arrivals	BA487	BAW487	A320	Airbus A320-232	G-EUUJ	British Airways	BA	BAW	BCN	LEBL	Barcelona El Prat Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558377300	1558380121.0	1558385400	1558386378.0	6240.0
arrivals	LO285	LOT285	B738	Boeing 737-89P	SP-LWA	LOT	LO	LOT	WAW	EPWA	Warsaw Chopin Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558375200	1558380799.0	1558385100	1558387720.0	6900.0
arrivals	BA1497	SHT7A	A320	Airbus A320-232	G-EUUR	British Airways	BA	BAW	GLA	EGPF	Glasgow International Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558380300	1558381045.0	1558385100	1558384435.0	3420.0
